,Name,Explanation,Action,Commonly known as,Abbrevations,See also,
,Age-related Macular Degeneration,"Age-related macular degeneration (AMD) is a medical condition which usually affects older adults and results in a loss of vision in the centre of the visual field (the macula) because of damage to the retina. It occurs in ""dry"" and ""wet"" forms. It is a major cause of blindness and visual impairment in older adults (>50 years). It does not affect the cornea or suitability for transplant.",Accept,,AMD,,
,AIDS,,,,AIDS,See HIV,
,Alchoholism,Of relevance to non-ocular tissue donation - If nutrition is poor the quality of bone is likely to be poor and not suitable for donation.,Accept,,,Cirrhosis,
,Allergy,,Accept,,,Steroid therapy,
,Alternative Therapies,,"Accept. For therapies involving penetration by needles - accept, if performed with sterile single use needles. No deferral period required. Must not donate if a) Therapies involving the penetration by needles - less than six months from completing treatment or four months if NAT HCV is performed b) The condition for which treatment was given is not acceptable",,,Acupuncture,
,Amyotrophic lateral sclerosis,"Amyotrophic Lateral Sclerosis (ALS) – also referred to as Motor Neurone Disease (MND), as Lou Gehrig's disease in the United States– is a debilitating disease with varied aetiology characterised by rapidly progressive weakness, muscle atrophy and fasciculations, muscle spasticity, difficulty speaking (dysarthria), difficulty swallowing (dysphagia), and difficulty breathing (dyspnea). ALS is the most common of the five motor neuron diseases. The precise cause of ALS is still not known. Where no family history of the disease is present – i.e., in around 90% of cases – there is no known cause for ALS. Approximately 20% of Familial ALS has been associated with mutations in the gene that produces the Cu/Zn superoxide dismutase (SOD1) enzyme.",Must not donate,,"ALS 
MND","Motor Neurone Disease
Lou Gehrig's Disease",
,Anaemia,,Accept if underlying cause of anaemia (or iron deficiency) is not a reason to exclude,,,"Haemogloblin Disorders
Malignancy
If treated with blood components or products: Transfusion
",
,Angleman Syndrome,"It is associated (20-80%) with strabismus and/or hypo-pigmented eyes (and skin) but there is no suggestion of direct congenital effects on the cornea. Angelman syndrome is a neuro-genetic disorder characterized by severe intellectual and developmental disability, sleep disturbance, seizures, jerky movements (especially hand-flapping), frequent laughter or smiling, and usually a happy demeanour. AS is a classic example of genomic imprinting in that it is caused by deletion or inactivation of genes on the maternally inherited chromosome 15 while the paternal copy, which may be of normal sequence, is imprinted and therefore silenced. The sister syndrome, Prader-Willi syndrome, is caused by a similar loss of paternally inherited genes and maternal imprinting",Consult with Medical Director on likely risk of pathology to cornea.,,,Prader-Willi syndrome,
,Animal Derived Tissue Products,,,,,"Tissue Products
Tissue Grafts (Animal Derived)",
,Ankylosing Spondylitis,"Ankylosing spondylitis, previously known as Bechterew's disease (or syndrome) and Marie-Strümpell disease, is a chronic inflammatory disease of the axial skeleton with variable involvement of peripheral joints and nonarticular structures. AS is a form of spondyloarthritis, a chronic, inflammatory arthritis where immune mechanisms are thought to have a key role. It mainly affects joints in the spine and the sacroiliac joint in the pelvis.
About one third to 40% of people with spondylitis will experience anterior uveitis or iritis at least once.  AS can also affect the heart valves and the aorta.
",Accept if no occular involvement Note: Condition may be associated with higher risk of uveitis or iritis,"Bechterew's disease 
Marie-Strümpell disease",AS,Autoimmune Disorders,
,Anthrax,"Anthrax is an acute disease caused by the bacterium Bacillus anthracis. Most forms of the disease can be lethal. Some forms of the disease respond well to antibiotic treatment. Bacillus anthracis can form dormant endospores that are able to survive in harsh conditions for decades or even centuries. Such spores can be found on all continents, even Antarctica. When spores are inhaled, ingested, or come into contact with a skin lesion on a host, they may become reactivated and multiply rapidly. It most commonly affects the skin through direct contact with the infected material such as animal hides. If spores have been inhaled there is no evidence that there is any spread to the bloodstream until the person has developed signs of infection. In the UK it is considered safe to accept exposed donors provided they have not shown signs of infection, even if they have been given prophylactic antibiotics","Infection: Must not donate until six months post-recovery 
Contact/Exposure: Must not donate until six months after last exposure",Bacillus anthracis,,,
,Antibiotic therapy,Treatment with antibiotics is not of itself a reason for deferral but the reason for the treatment may be.,Accept if disorder being treated is not a reason to exclude,,,Infection – General,
,Antidepressant therapy,,,,,Mental Health Problems,
,Antifungal therapy,"Fungaemia is the presence of fungi or yeasts in the blood. It is most commonly caused by Candida species, but can be caused by other fungi as well, including Saccharomyces, Aspergillus and Cryptococcus. It is most commonly seen in immunosuppressed or immunocompromised patients with severe neutropenia, oncology patients, or in patients with intravenous catheters. Organ culture of corneas will not necessarily eliminate the risk of transmission of a fungal infection to the recipient’s eye causing a fungal endophthalmitis.","Accept, if on local therapy only for chronic superficial fungal infections. Must not donate if treatment is for an unresolved systemic fungal infection.",,,"Infection – General
",
,Antiviral therapy,,,,,Infection – General,
,Arthritis,,,,,"Ankylosing Spondylitis
Autoimmune Disorders
Osteoarthritis
Psoriasis
Rheumatoid Arthritis
",
,Arthropod Borne Encephalitis (Arbovirus infection),"Arbovirus is a term used to refer to a group of viruses that are transmitted by arthropod vectors. The word arbovirus is an acronym (ARthropod-BOrne virus). Symptoms of arbovirus infection generally occur 3–15 days after exposure to the virus and last 3 or 4 days. The most common clinical features of infection are fever, headache and malaise, but encephalitis and haemorrhagic fever may also occur. Arboviruses maintain themselves in nature by going through a cycle between a host, an organism that carries the virus, and a vector, an organism that carries and transmits the virus to other organisms. Vectors are commonly mosquitoes, ticks and sandflies. Person-to-person transmission of arboviruses is not common, but can occur. Blood transfusions, organ transplantation and the use of blood products can transmit arboviruses if the virus is present in the donor's blood or organs. Corneas are avascular and therefore there is considered to be low or no risk of transmitting an infection. Common arboviruses include: Murray Valley encephalitis virus*, Ross River virus*, Barmah Forest virus* Tick-borne encephalitis virus, Japanese encephalitis virus, Yellow fever virus, West Nile virus. (*of immediate relevance to Australia).",Accept for corneas but not sclera only after clinical opinion that the infection has resolved.,Arbovirus infection,,"Barmah Forest Virus 
Chikungunya Virus 
Dengue Fever 
Japanese encephalitis virus 
Murray Valley encephalitis virus 
Ross river virus 
Tick-borne encephalitis 
West Nile virus 
Yellow Fever virus",
,Australian Bat Lyssavirus,"Australian bat lyssavirus (ABLV) is a zoonotic virus closely related to rabies virus. It was first identified in a 5-month old juvenile Black Flying Fox collected near Ballina in northern New South Wales, Australia in January 1995 during a national surveillance program for the recently identified Hendra virus. ABLV is distributed throughout Australia in a variety of bat species which are believed to be the primary reservoir for the virus. There have been three confirmed cases of ABLV in humans, all of them fatal. The first occurred in November 1996 when an animal carer was scratched by a Yellow-bellied Sheath-tailed Bat. Onset of a rabies-like illness occurred 4–5 weeks following the incident, with death twenty days later. In August 1996, a woman in Queensland was bitten on the finger by a flying fox while attempting to remove it from a child it had landed on. After a 27 month incubation a rabies-like illness developed. The condition worsened after hospital admission and she died 19 days after the onset of illness. In December 2012 an eight-year-old boy was bitten or scratched by a bat in north Queensland. He became ill three weeks later, and died on 22 February 2013. Rabies vaccine and immunoglobulin are effective in prophylactic and therapeutic protection from ABLV infection. Since the emergence of the virus, rabies vaccine is administered to individuals with a heightened risk of exposure and vaccine and immunoglobulin are provided for post exposure treatment. ABLV is one of four zoonotic viruses discovered in Pteropid bats since 1994, the others being Hendra virus, Nipah virus and Menangle virus. Of these, ABLV is the only virus known to be transmissible to humans directly from bats without an intermediate host",Must not donate,,ABLV,"Bites and Scratches – Bat
",
,Autoimmune Disorders,,Accept if no ocular involvement,,,If treated with immunoglobulin or plasma exchange: Immunosuppression Transfusion,
,Avodart therapy,,,,,Dutasteride therapy,
,Babesiosis,"Corneas are avascular and therefore there is considered to be no risk of transmitting a protozoal infection.
Babesiosis is a malaria-like parasitic disease caused by infection with Babesia, a genus of protozoal piroplasms. After trypanosomes, Babesia is thought to be the second most common blood parasite of mammals. However, human babesiosis is uncommon, but reported cases have risen because of expanded medical awareness.",Accept for corneas but not sclera,,,,
,Bacteraemia,"Septicaemia (and thus bacteraemia) is a contraindication in a prospective corneal donor because of the risk of pathogenic organisms being harboured in the conjunctiva, surviving the antibiotics used throughout the retrieval and buttoning process, and eventually leading to an endophthalmitis in the recipient’s eye. The only exception to this is if the corneas are to be placed in organ culture for preservation. The microbiological surveillance during organ culture allows the exclusion prior to transplantation of those corneas that may be harbouring organisms.",Must not donate unless corneas are preserved by organ culture,,,Septicaemia,
,Barmah Forest Virus,"Barmah Forest virus is a virus currently found only in Australia. Although there is no specific treatment for infection with the Barmah Forest virus, the disease is non-fatal and most infected people recover. The Barmah forest virus causes similar symptoms as the Ross River virus. The virus can only be transmitted to humans by bites from infected mosquitos. Direct contact with an infected person or animal does not cause infection. The virus is hosted mainly by marsupials, especially possums, kangaroos and wallabies.",Must not donate if within 12 months of last infection or recurrence,,BFV,Arthropod Borne Encephalitis Arbovirus infection,
,Basal Cell Carcinoma,Although basal cell carcinoma is a form of cancer it only spreads locally. As it does not spread by the blood stream it is not generally considered a risk to people receiving donated material.,Accept unless ocular area is involved,,BCC,,
,BCG/BCG Immunisation (Bacillis-Calmette-Guerin),"Bacillus Calmette–Guérin (BCG) is a vaccine against tuberculosis that is prepared from a strain of the attenuated (weakened) live bovine tuberculosis bacillus, Mycobacterium bovis. As a live bacteria vaccine, by four weeks, the infection caused by the inoculation should have been controlled. If the wound has not healed it is possible that there may still be infection present.",Accept if more than 4 weeks after inoculation Must not donate if a) The inoculation site has not yet healed b) Less than 4 weeks after inoculation.,,"BCG
TB",Tuberculosis,
,Bilarzia,,,,,Schistosomiasis,
,Binswanger's disease,,,,,Dementia,
,Bipolar Disorder,,,,"BPD
BPAD",Mental Health Problems,
,Bisexual - Female,,Accept,"Gay
Lesbian ",,,
,Bisexual - Male,"Men who have had sex with other men have a higher chance of having an undiagnosed communicable disease infection. Therefore on an epidemiological population basis, male to male sex is considered high-risk behaviour. If one considers having a good knowledge of an individual’s behaviour, then male to male sex may not be considered high-risk behaviour (e.g. in the instance of a longterm monogamous relationship). The suggested six month exclusion period is consistent with that of other high-risk for infectious disease exclusions, based on “worse-case scenario” of hepatitis and HIV window periods. 6 months or 4 months if HCV NAT performed","Must not donate if any oral or anal sex with another man in the past six months (even if a condom or other protective was used)
The TGA mandates 12 month exclusion for increased risk sexual practice but does not define it",Gay,,,
,Bisexual - Female of Bisexual male,,"Must not donate if any oral or anal sex with another man in the past six months by the male partner was determined to be high-risk behaviour.
The TGA mandates 12 month exclusion for increased risk sexual practice but does not define it",,,Bisexual – Male,
,Bites - Human,"Human bites are considered to have the same risk as exposure to the following risks of acquiring a blood borne transmissible infection: mucosal splash with blood, needle  stick injury, tattoo, body piercing","Must not donate less than six months from receiving bite, or four months if NAT HCV is performed
The six month exclusion period for these increased risks (mucosal splash with blood, needle stick injury, tattoo, body piercing) is mandated by the TGA",,,,
,Bites and Scratches - Bat,"Worldwide, bats are considered a risk for rabies infections. In Australia they are also considered a risk for lyssavirus (which is a rhabdovirus like rabies and caused 3 deaths in Queensland) and Hendra virus (4 deaths in Queensland)",Must not donate if less than 12 months since the bat bite or scratch - in any country (including Australia and New Zealand),,,"Rabies
Australian Bat Lyssavirus",
,"Bites and Scratches - Non-human, non-bat mammal","In essence, rabies is considered endemic in any area outside of Australia, New Zealand and the British Isles",Must not donate if potential donor was bitten or scratched in a rabies endemic area in the past 12 months (if the donor was NOT pre-immunised against rabies) Accept if the donor was bitten or scratched in a rabies endemic area and had been pre-immunised against rabies,,,"Rabies
",
,Bites and Stings - Envenomation,"Venom is composed of hundreds to thousands of different proteins and enzymes, all serving a variety of purposes, such as interfering with a prey's cardiac system or increasing tissue permeability so that venom is absorbed faster. Depending on the family or species, venom can be a combination of many toxins, including cytotoxins, haemotoxins, neurotoxins, and myotoxins. Relatively little is known about the protein structure of the venom of Australian creatures - including reptiles, arachnids, cephalopods, fish and cnidarian. Little is known about the distribution of toxins throughout the body and the accumulation and retention of toxins. Effects on the body are as varied as the venoms, and venoms also vary within a species. Therefore the risk to the recipient of receiving a dose of venom toxin from their transplant, or receiving tissue damaged by the venom, is largely unknown.",Must not donate if potential donor died as a result of the envenomation Must not donate if venom has directly contacted the eyes or peri-orbital area,,,,
,Blind Donor,All other tissues should be suitable unless there is a contraindication to the disease causing the blindness (eg. River Blindness),Accept if no corneal disorder. If necessary discuss with Medical Director,,,,
,Blood Components and Blood Products,,,,,Transfusion,
,Body Piercing,Piercing has passed infection from person to person. Waiting six months (four with NAT HCV) ensure that the infections tested for will be picked up,"Must not donate if less than six months after last piercing or four months if NAT HCV performed
The six month exclusion period for these increased risks (mucosal splash with blood, needle stick injury, tattoo, body piercing) is mandated by the TGA",,,Permanent and Semi-permanent Makeup,
,Bone Graft,,,,,Tissue and Organ Recipients,
,Borreliosis,"Lyme disease (Lyme borreliosis) is an infectious disease caused by at least three species of bacteria belonging to the genus Borrelia transmitted to humans by the bite of infected ticks belonging to a few species of the genus Ixodes (""hard ticks""). Identified in Europe and North America its presence in Australia or New Zealand is largely unknown",,"Lyme Disease
Lyme borreliosis",,Infection – Acute,
,Brain Surgery,,,,,Neurosurgery,
,Brain Tumour,,,,,"Neurosurgery
Malignancy",
,Breast Lump,,,,,"If related to malignancy, see Malignancy",
,Bronchitis - Acute,,,,,Infection – Acute,
,Bronchitis - Chronic,,,,,"Infection - General 
Steroid Therapy",
,Burcellosis (Undulant Fever),"Brucellosis, also called Bang's disease, Crimean fever, Gibraltar fever, Malta fever, Maltese fever, Mediterranean fever, rock fever, or undulant fever is a highly contagious zoonosis caused by ingestion of unsterilized milk or meat from infected animals or close contact with their secretions. Transmission from human to human, through sexual contact or from mother to child, is rare but possible. It is uncommon in Australia and New Zealand. Brucella are small, gram-negative, non-motile, non-spore-forming, rod shaped (coccobacilli) bacteria. They function as facultative intracellular parasites causing chronic disease, which usually persists for life. The duration of the disease can vary from a few weeks to many months or even years. In the first stage of the disease, septicaemia occurs and leads to the classic triad of undulant fevers, sweating (often with characteristic smell, likened to wet hay), and migratory arthralgia and myalgia. With combination antibiotic therapy, most individuals recover in 2 to 3 weeks. Untreated, however, the infection may progress and increase in severity and also affect new tissues. Brucellosis can take a chronic form, with periods of illness alternating with periods of no symptoms. Approximately 10% of individuals may have a relapse, even after treatment is completed. This disease has a low mortality rate (lower than 2%); the most likely cause of death is endocarditis caused by Brucella melitensis.",Must not donate,"Undulant Fever
Bang's disease
Crimean fever
Gibraltar fever
Malta fever
Maltese fever
Mediterranean fever
Rock fever",,,
,Cancer,,,,,Malignancy,
,Cannabis,,,,,Addiction and Drug Abuse,
,Cardiomyopathy," Additional Information: Kearns–Sayre syndrome (abbreviated KSS) also known as  culocraniosomatic disease or Oculocraniosomatic neuromuscular disease is a mitochondrial myopathy with a typical onset before 20 years of age. KSS is a more severe syndromic variant of chronic progressive external ophthalmoplegia, a syndrome that is characterised by isolated involvement of the muscles controlling eyelid movement (levator palpebrae, orbicularis oculi), and those controlling eye movement (extra-ocular muscles). This
results in ptosis and ophthalmoplegia respectively",Must not donate if: a) Associated with extra-ocular muscle paresis e.g. Kearns-Sayre Syndrome b) Not recovered from a possible viral cause of the cardiomyopathy. If a bacterial infective process is thought to be involved it may be preferable to preserve the corneas by organ culture.,,,,
,Cardiovascular Disease,,Accept - but consider see also,,,"Cardiomyopathy
Endocarditis
Myocarditis",
,Cataract Surgery,"A cataract is a clouding of the lens inside the eye which leads to a decrease in vision. It is the most common cause of blindness and is conventionally treated with surgery. Cataract by itself (untreated) will not affect the cornea. Surgical removal of the lens (cataract) and its replacement with an intraocular lens (IOL) has the potential to affect the cornea and make it slightly less likely that the cornea will be suitable for transplantation. However, eye bank assessment will determine if there has been any significant effect on the cornea and, if so, the cornea may still be suitable for anterior lamellar corneal transplantation. The common surgery today which is less likely to affect the cornea that past surgery is Phacoemulsification, or phaco. A small incision is made on the side of the cornea, the clear, dome-shaped surface that covers the front of the eye. A small probe is inserted into the eye. This device emits ultrasound waves that soften and break up the lens so that it can be removed by suction. Most cataract surgery today is done by phacoemulsification, also called ""small incision cataract surgery."" Extracapsular cataract extraction (ECCE), consists of removing the lens manually, but leaving the majority of the capsule intact. Extracapsular extraction is less frequently performed than phacoemulsification but can be useful when dealing with very hard cataracts or other situations where emulsification is problematic. Intracapsular cataract extraction (ICCE) is now rarely performed. The lens and surrounding capsule are removed in one piece through a large incision while pressure is applied to the vitreous membrane",Accept ,,,"IOL
Phacoemulsification (phaco)
Extracapsular cataract extraction (ECCE)
Intracapsular cataract extraction (ICCE)",
,Central Nervous System Disease,"Often the exact cause of a degenerative brain condition only becomes known after death. For this reason, when there is any doubt as to the underlying cause of a brain condition, it is considered safest not to accept a donation. It is thought that degenerative brain disease in the form of vCJD has been transmitted by blood transfusion. Transient global amnesia is a temporary and isolated disorder of memory. Affected individuals are usually over 50 years of age and there is an association with migraine. There is no association with cerebrovascular disease.","Must not donate if: a) Dementia b) History of CNS disease of possible infective origin (e.g. multiple sclerosis and Creutzfeldt-Jakob disease) c) Neurodegenerative conditions of unknown aetiology (e.g. Parkinson’s disease) Accept: a) Individuals who have had Bell's palsy more than four weeks ago and have discontinued any treatment for the condition for at least seven days, even if they have residual paralysis. b) If a definite diagnosis of transient global amnesia has been made.",,,Neurosurgery Prion Associated Diseases Rabies,
,Cervical Carcinoma in Situ,,Accept,,CIN,Malignancy,
,Chagas' Disease (South American Trypanosomiasis)," A tropical parasitic disease caused by the flagellate protozoan Trypanosoma cruzi. T. cruzi is commonly transmitted to humans and other mammals by an insect vector, the blood-sucking kissing bugs"" of the subfamily Triatominae. The disease may also be spread through blood transfusion and organ transplantation, and ingestion of food contaminated with parasites. Infection is very common in many parts of South or Central America and is often symptomless. It can be passed from an infected mother to her unborn baby and by transfusion. The insect that passes the
infection on is only common in rural areas and the greater time that an individual has spent living in housing conditions with thatched roofs or mud lined walls which harbour the insect vector, the greater their risk of becoming infected. Camping or trekking in the jungle in South or Central America (including Southern Mexico) is not considered of high enough risk to merit exclusion for other tissues. Donations (other than eye) will defer:
a) if the potential donor (or their Mother) was born in South America, Central America (including southern Mexico)
b) if ever had a transfusion in South America or Central America (including
Mexico)
c) has lived or worked in rural subsistence farming communities in these
countries for 4 weeks or more.
As corneas are avascular there is not considered to be a risk of transmitting protozoal infections.",Accept for corneas but not sclera,"South American trypanosomiasis
Trypanosoma cruzi
T. cruzi",,,
,Chicken Pox ,"Chickenpox, also known as varicella, is a highly contagious disease caused by the initial infection with varicella zoster virus (VZV). It is an airborne disease which spreads easily through the coughs and sneezes of an infected person. It may be spread from one to two days before the rash appears until all lesions have crusted over. It may also spread through contact with the blisters. Those with shingles may spread chickenpox to those who are not immune through contact with the blisters. 
Symptoms usually last five to ten days. Complications may occasionally include pneumonia, inflammation of the brain, or bacterial infections of the skin among others. The disease is often more severe in adults (especially men) than children. Symptoms begin ten to twenty one days after exposure to the virus.
In 2013 chickenpox resulted in 7,000 deaths globally – down from 8,900 in 1990. Death occurs in about 1 per 60,000 cases. Non-immune pregnant women and those with a suppressed immune system are at highest risk of serious complications.
",Do not donate unless infection has completely resolved,"Herpes Zoster
Varicella Zoster",VZV,"Infection – Acute 
Herpes – Ocular 
Infectious Disease – Contact with",
,Chikungunya Virus,"Chikungunya endemic areas are shown and updated in the United Kingdom’s Geographical Disease Risk Index (http://www.transfusionguidelines.org.uk/Index.aspx?Publication=GDRI&Section=66&pageid=7631). The Centers for Disease Control and Prevention (CDC) also have valuable current information on disease outbreaks by geography (http://www.cdc.gov/) 
Chikungunya virus (CHIKV) is an arthropod-borne virus, of the genus Alphavirus that is transmitted to humans by virus-carrying Aedes mosquitoes. There have been recent breakouts of CHIKV associated with severe illness to death. Most commonly it causes arthritis (typically in the knee, ankle and small joints of the extremities), high fever, and a macropapular rash. It is geographically widespread but has reached epidemic proportions in parts of India and islands in the Indian Ocean since 2005. It is known to be spread by blood in symptomatic cases and on theoretical grounds could be spread by transfusion and transplantation of organs and tissues from people with pre-symptomatic or asymptomatic disease. It is spread by the same mosquitos as dengue fever. The problem can vary both in relation to geography and time of year, so it is not possible to state areas from which donors need to be deferred and dates of disease activity. Take note of the UK Index and CDC notifications.","Must not donate if a) It is less than six months from a donors return from a chikungunya endemic area and the donor has been diagnosed or has had symptoms suggestive of chikungunya. b) In other cases it is less than four weeks from a donor’s return from a chikungunya endemic area. 
Accept if six months after their return from an affected area. This may be reduced to four weeks if they have neither symptoms nor evidence of infection",,CHIKV,"Arthropod Borne Encephalitis (Arbovirus infection) 
Malaria 
South American Trypanosomiasis Risk 
Infection – Tropical",links in text
,Chlamydia,"Chlamydia infection is a common sexually transmitted infection (STI) in humans caused by the bacterium Chlamydia trachomatis. The term Chlamydia infection can also refer to infection caused by any species belonging to the bacterial family Chlamydiaceae. C. trachomatis is found only in humans. Chlamydia is a major infectious cause of human genital and eye disease. Chlamydia conjunctivitis or trachoma was once the most important cause of blindness worldwide. The infection can be spread from eye to eye by fingers, shared towels or cloths, coughing and sneezing and eye-seeking flies",Must not donate if current infection,"STI
C. trachomatis",STI,"Infection - Acute 
Lymphogranuloma Venereum",
,Cholera Immunisation,,,,,Immunisation - Non-live,
